date,time,title,meeting_type,source,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page,video_id
6/17/25,,Fort Collins City Council Regular Meeting 6/17/25,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2738?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2738?site=1,2738.0
6/26/25,,Fort Collins Urban Renewal Authority Board Meeting 6/26/25,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2748?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2748?site=1,2748.0
7/1/25,,Fort Collins City Council Regular Meeting 7/1/25,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2753?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2753?site=1,2753.0
7/8/25,,Fort Collins City Council Work Session 7/8/25,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2758?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2758?site=1,2758.0
7/15/25,,Fort Collins City Council Regular Meeting 7/15/25,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2759?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2759?site=1,2759.0
7/24/25,,Fort Collins Urban Renewal Authority Board Meeting 7/24/25,Urban Renewal Authority Board,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2771?site=1,https://reflect-vod-fcgov.cablecast.tv/store-4/2771-Urban-Renewal-Authority-July-24-2025-v2/vod.mp4,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2771?site=1,2771.0
8/12/25,,Fort Collins City Council Work Session 8/12/25,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2783?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2783?site=1,2783.0
8/19/25,,Fort Collins City Council Regular Meeting 8/19/25,City Council Regular Meeting,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2792?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2792?site=1,2792.0
8/26/25,,Fort Collins City Council Work Session 8/26/25,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2798?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2798?site=1,2798.0
7/25/23,,Fort Collins City Council Work Session 7/25/23,City Council Work Session,cablecast,,,,,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2200?site=1,,https://reflect-vod-fcgov.cablecast.tv/CablecastPublicSite/show/2200?site=1,2200.0
