date,time,title,meeting_type,agenda_pdf,agenda_html,minutes_pdf,minutes_html,audio_link,video_link,mp4_download,detail_page
09/02/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-65
08/28/2025,5:00pm,Urban Renewal Authority Board,Urban Renewal Authority,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-8
08/26/2025,6:00pm,City Council Work Session,City Council Work Session,,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-8149056cee0f47979c73a55b9f8d6e5d.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=8149056cee0f47979c73a55b9f8d6e5d&ip=False,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-57
08/19/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4335/2025-08-19_action_agenda.pdf,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-f155a623d6684bbb9f49e9f340a6065a.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=f155a623d6684bbb9f49e9f340a6065a&ip=False,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-64,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-64
08/12/2025,6:00pm,City Council Work Session,City Council Work Session,,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-c8aa0a7c04d848dfbf47b2ea7c75692f.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=c8aa0a7c04d848dfbf47b2ea7c75692f&ip=False,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-29,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-29
08/12/2025,5:00pm,City Council Special Meeting,City Council Special Meeting,,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-fed1a6b4ccb844cbbc15d11310117fff.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=fed1a6b4ccb844cbbc15d11310117fff&ip=False,,,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-special-meeting-4
07/24/2025,5:00pm,Urban Renewal Authority Board,Urban Renewal Authority,,,,,,,,https://fortcollins-co.municodemeetings.com/bc-ura/page/urban-renewal-authority-board-7
07/15/2025,6:00pm,City Council Regular Meeting,City Council Regular Meeting,https://fortcollins-co.municodemeetings.com/sites/fortcollins-co.municodemeetings.com/files/fileattachments/city_council/meeting/4327/2025-07-15_action_agenda.pdf,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-2db544850e564d52a265a612fdc946c0.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=2db544850e564d52a265a612fdc946c0&ip=False,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-57,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-regular-meeting-57
07/08/2025,6:00pm,City Council Work Session,City Council Work Session,,,https://mccmeetings.blob.core.usgovcloudapi.net/fortcollco-pubu/MEET-Agenda-0ded58bad4ff42aa9b69c30c39dc3cff.pdf,https://meetings.municode.com/adaHtmlDocument/index?cc=FORTCOLLCO&me=0ded58bad4ff42aa9b69c30c39dc3cff&ip=False,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-56,,https://fortcollins-co.municodemeetings.com/bc-citycouncil/page/city-council-work-session-56
